State ANSI,County,County ANSI,TIME,CDL_YEAR,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,GNDVI,SIF,NIRv,Tmax,Pdsi,Pet,Pre,DEM,Yield
5,Arkansas,1,2023_09,2023,1210.55071006549,2840.257292457605,580.4043448256771,983.361323675968,3453.797678791762,3277.591543280182,2057.3210886088964,0.4873373588021851,1760.9670138888887,0.1161060366910437,31.37426996330033,-2.5887364353960924,137.125966922931,14.161782618324477,58.64106001645153,11574.35744339236
5,Monroe,95,2023_09,2023,1125.8951638676017,2841.0049926626443,534.5926936246535,923.1357459644548,3416.6012098483616,3162.602413174629,1952.955825860101,0.5104265449641189,2070.244167617805,0.1247387772780359,31.139594977988143,-2.8374182292515906,135.5295353008321,14.28408283058862,54.39315180172836,10331.557674524847
5,Cross,37,2023_09,2023,1138.3932627806169,2812.928185971795,554.1842443029085,934.1548204296128,3314.1155684175683,3009.518933798303,1892.384199501126,0.5002445473169607,2192.0420329515086,0.121025678171038,30.03531429863005,-1.87135664640496,129.42526336182922,30.95279264443529,70.63846979714076,12020.00786556202
5,Jackson,67,2023_09,2023,1028.7962272487257,2744.013082319472,505.2733493539663,869.0316820586872,3270.8957590223827,2918.278476136082,1731.2102115370108,0.5192607000456054,2229.029634578704,0.12658306290315,30.13751953188153,-2.1280488593381173,127.69513992909248,44.51442395767105,69.38896731575375,11674.785707543268
5,Clay,21,2023_09,2023,1007.5514801663744,2695.083546665727,500.0683665360685,837.5752845409874,3154.9431647294905,2774.074395586156,1653.32653435867,0.5252815482834176,2246.9170090882108,0.1243338143260524,29.258477888034506,-2.344518254379397,120.22410262084512,44.32192989956193,85.41972247509165,11486.482712260313
5,Ashley,3,2023_09,2023,1159.8722740285202,2978.8050810366617,556.2328000857483,977.7912764446588,3510.9819950784017,3252.230964535016,2046.804773995025,0.5078727263413363,1759.9407041190473,0.1336418407805619,32.10738864995482,-2.0005651799152275,133.4617330099904,43.21358486184242,40.67610345181791,11141.26055424156
5,Desha,41,2023_09,2023,1318.884483957378,2843.205787794349,634.5274365759931,1051.491816996071,3420.96056312218,3322.100781784766,2281.0875499226577,0.4624309937820411,1534.302548817756,0.1059517281108079,31.59040622625137,-2.2301337199588227,134.99055821749826,21.655481116973977,46.6890108172494,12070.221997637476
5,Chicot,17,2023_09,2023,1214.614566014922,2567.967976110325,591.0862371013616,977.399406651186,3143.0604100541823,3128.613797707213,2145.031320848046,0.4480022021542851,1345.6581294054604,0.0937796436291554,31.973260601730445,-2.385961380801234,135.07426089027533,40.448343615603406,37.40586799305661,11210.304985845309
5,Prairie,117,2023_09,2023,1119.4208534628488,2913.865014973785,534.2638303714699,945.6548907214018,3413.095557634056,3099.208137758823,1873.9544179101915,0.511082428844752,1952.441138865768,0.132395429010429,30.823746964483288,-2.327382033174016,133.92405073066877,14.090992560302734,63.86480688536687,12070.221997637476
5,Drew,43,2023_09,2023,1133.5285191755015,2907.6477489927543,526.1912221718027,931.7778385105128,3407.6688186680967,3051.530891189859,1942.463292218417,0.5172316778667189,1963.9608652008312,0.1295959605114,31.637495702872656,-1.488745926323172,132.9115341776328,28.344512740123488,49.19555023857652,12045.114931599748
5,Lawrence,75,2023_09,2023,1152.2570211622651,2746.527950310559,582.7659546726093,953.7562151312568,3303.087233101006,3000.0729339528707,1794.5890545730406,0.484483577679203,1780.9681064593112,0.1131804061432967,29.738321242868203,-1.912127763817112,124.2721065857476,43.36370963918258,77.76835300997264,10086.763780657006
5,Woodruff,147,2023_09,2023,1099.1048935527135,2832.0554338175566,519.2645857339857,898.0961331393921,3419.3051953265203,3113.105859323346,1898.1895814836505,0.5192217223214448,2254.637701418668,0.126646657505297,30.532068307610817,-2.566622683567255,130.79586111793265,24.083438804616804,60.80507962294804,9810.586054242003
5,Lee,77,2023_09,2023,1146.644503142271,2776.524635282925,556.4583482821312,943.2900563955994,3310.9935411115453,3109.5517235124094,1977.7496986725464,0.4908270611271356,1902.6473723036736,0.1174028022016498,30.805769765669822,-2.6774380515098546,134.09893658619143,18.815373948377253,60.07564830752733,12063.945231128042
5,Mississippi,93,2023_09,2023,1016.2214656998708,2530.06748822446,527.4617285838049,839.0315118556213,3015.125299393569,2783.144817306224,1756.9451245258842,0.4964147858700038,2101.0091874695145,0.1099524346871311,29.212610566317966,-1.2445219531016791,125.20627907484663,34.248556722796145,71.1193643028225,12063.945231128042
5,Phillips,107,2023_09,2023,1216.674225916241,2664.0269774934627,596.972424563151,992.8339961295808,3208.5602366351222,3133.357960559082,2150.1216989893323,0.4571550447197528,1733.3828912962265,0.1017980273938344,31.12797596812353,-2.637575488731159,135.80803137840874,17.39650520898186,53.73347030257751,11894.472535373385
5,Craighead,31,2023_09,2023,1133.0461613778375,2702.225527976284,570.2232127679828,923.3310815864444,3223.167166708596,2980.308226128876,1891.685494591048,0.4876195498785132,1903.8992833393395,0.1128413052475491,29.32731367842752,-1.0162129175704255,124.50361220090944,34.78690564421265,71.21600451482617,12264.801759429864
5,Poinsett,111,2023_09,2023,1148.7644243927004,2593.634714331068,576.4316849486025,925.4786815658967,3215.1620140781856,3055.289344477651,1963.553514346393,0.4728123116698159,1717.1495287201546,0.1016127810121726,29.51576789604473,-0.9927943446418638,126.48457201659592,32.28710849836338,67.16406669075064,11812.874570750768
5,Greene,55,2023_09,2023,1018.5915331079456,2730.8596307272283,505.578664082724,858.4185987297186,3163.826017073826,2786.802149788522,1639.131807604713,0.5212224462894879,2068.482169380278,0.1264444660159807,29.197690719024543,-1.5956694439336283,121.58134963857802,39.91661126278415,79.54164485875548,12001.177566033724
5,Lonoke,85,2023_09,2023,1183.3421910408842,2934.169501960906,573.1168291269571,980.5834988979605,3469.9676036589794,3208.230042995064,2045.3650725897407,0.4990954852631226,2207.505101460073,0.1267107503437876,30.84118834011084,-1.879451515433732,132.60545742402155,14.408608325831183,69.45085317521912,10890.189893864284
