State ANSI,County,County ANSI,TIME,CDL_YEAR,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,GNDVI,SIF,NIRv,Tmax,Pdsi,Pet,Pre,DEM,Yield
5,Arkansas,1,2021_08,2021,583.9562105812879,3977.928053067128,300.97737416141086,680.330154059374,3664.01482444864,2389.3536124613347,1057.1874422528422,0.7059694117422302,3986.29406660507,0.2968706263933259,33.272956252761844,5.492603462820876,153.37805005423223,74.12618005061664,58.693476077612175,11932.133134429974
5,Monroe,95,2021_08,2021,619.0939971137119,3628.090303587433,327.2920867599768,679.6061913516792,3529.3081293821497,2424.211390953661,1170.5494738125365,0.6843344367842656,3819.646462649588,0.2588313995776671,33.49002319574028,4.655856463176741,155.9957265802099,64.94034345511098,54.439987611365936,10909.020193392582
5,Cross,37,2021_08,2021,548.7794615629693,3779.871569341404,273.09677757043374,626.2391720904828,3505.5216899549405,2286.133867370625,1046.3207318738337,0.7127378185331491,4123.404278366937,0.2831587957670795,33.52651495152697,3.9833942014473527,158.10022939329093,80.30349096536345,71.55402120977651,12183.203794807248
5,Jackson,67,2021_08,2021,661.895784252945,3746.26153750775,332.2489987600744,722.053880967142,3580.7675046497206,2471.4880719156854,1234.0665747055175,0.6738394108784785,3526.4458524488527,0.2644511607511284,33.93109237445741,5.073836453812771,158.83829386236812,83.71398636081835,69.34833230006201,11530.420077826337
5,Clay,21,2021_08,2021,522.3505886505442,4041.9105421961112,266.34633829758167,638.6050792457987,3638.9677540192192,2274.889292708476,1003.7485733479072,0.7243086190471599,4725.939285876941,0.3124531581353495,32.810074236006734,5.696520153026363,150.52862595072224,97.178617297445,84.59312747643119,12336.98457428833
5,Ashley,3,2021_08,2021,797.276411375005,3388.120970397876,462.0374644411775,806.1721011206996,3489.572961214632,2580.4387027950665,1293.4684218565048,0.6166612457102087,3577.048059299706,0.2118215733297995,33.779672286074,5.60810879567758,153.3416157547057,110.11402210851884,41.56380064149069,11674.785707543268
5,Desha,41,2021_08,2021,875.9554489995662,3509.182416500761,500.26361763299246,873.3096659474369,3558.8209882550523,2683.72157327802,1410.182415110498,0.6017581190462169,3432.5218160180625,0.2131058037894641,33.61640066287778,5.410343506356283,153.09110509281444,98.35805963675192,46.73755713983828,11674.785707543268
5,Chicot,17,2021_08,2021,915.6895814024896,3300.8232957873024,544.8150838957658,895.6400868808746,3421.5397758609915,2644.281401920705,1409.6526712457287,0.5719800203679304,4506.84184041894,0.1896123032787575,33.75140015806866,5.5699217048665695,153.35512557356668,107.73368851387085,37.68832054948743,11417.43828065656
5,Prairie,117,2021_08,2021,641.3329712369527,3788.155376737669,339.7234174026669,714.2603610730648,3609.048881043467,2419.424315952708,1132.3791326217354,0.6814548061609607,3680.765912561596,0.2704529785753432,33.615897605440914,4.46906272139046,157.9762047576319,73.19335946724601,63.684606180827785,11863.088702826224
5,Drew,43,2021_08,2021,810.7700559307088,3484.405760379798,465.3223656394583,831.7651484036194,3550.984640195214,2562.885284666772,1282.844952344137,0.6158931382075716,3554.4952706538943,0.2195507831958741,33.70043125838076,5.496305311605338,152.77861344994582,99.28115147195614,50.12934127396383,11423.715047165992
5,Lawrence,75,2021_08,2021,627.2508782201404,3906.283119318858,320.20313678402727,721.1122087484617,3586.0931161433723,2362.2968731393635,1121.2960743063547,0.6860260270690967,4014.107033699837,0.2837019582013227,33.65248481721117,5.378065732544748,156.70218116143374,91.49557416742742,78.13839161671892,10774.069713439794
5,Woodruff,147,2021_08,2021,639.9109801144846,3719.953758285631,320.60848525434864,688.879806092765,3635.4421392071386,2491.9019885515395,1223.1982537258684,0.6860127654872415,3897.611912541268,0.2640920548018536,33.92095102413394,3.9045885122972863,160.0670101773572,68.85965825236093,61.5097465471204,12176.927028297818
5,Lee,77,2021_08,2021,612.1059916837461,3574.134158569133,318.0629663147495,658.413019397219,3461.7875493961856,2402.516231623882,1163.7704349076223,0.6858034170590896,4007.733382238014,0.254255334447404,33.416472891077845,4.70265755171855,156.2170015040034,76.83433845972364,60.32461035992862,11699.892773580996
5,Mississippi,93,2021_08,2021,539.298837177646,3762.64450203162,301.5910350037774,640.7079451019893,3477.093742130445,2273.0128431125654,1060.127551437108,0.704906061032556,5266.765734003961,0.2828243600612388,32.61893185051095,4.503596956311645,151.98921981664336,90.3547475957448,71.72033050426401,11354.670615562243
5,Phillips,107,2021_08,2021,669.27883786835,3533.150931963228,373.733251157754,718.9953609197516,3441.270981268576,2426.7142156072164,1212.1937469760153,0.658725430821245,3693.296670737046,0.2434331197662581,33.32930857314036,5.10651959541968,153.70427205492666,86.04323203465198,53.888823353224446,11706.169540090426
5,Craighead,31,2021_08,2021,598.4127321285837,3979.634714932777,312.03951313791754,688.9277752872663,3652.081671621844,2381.811164375161,1103.7955576795391,0.700889519778526,4545.092327016364,0.2950988327855768,32.960060138801175,4.338862395486621,154.20022879811188,88.40085344656234,71.53312497621091,12264.801759429864
5,Poinsett,111,2021_08,2021,546.0886561079925,3685.401054196738,287.9489341085272,634.0998229083135,3432.020751470196,2256.1733426891205,1042.118080058808,0.7034545617561622,4122.823823843892,0.2742172527628567,33.1094533547181,4.2361373295910125,155.760379577653,89.51180834001605,68.23168938786421,11084.769655656672
5,Greene,55,2021_08,2021,533.9614304899358,3843.078953223092,271.83619183224386,642.0651495048861,3497.1407574752434,2244.3010080253703,1015.6821524496792,0.7109269213014718,4183.27846903113,0.2912415793064715,32.91003575820325,5.072241117079803,152.73336110931342,97.40704485146588,79.9411688563847,11097.323188675537
5,Lonoke,85,2021_08,2021,797.2274183053947,3650.0897629504575,456.2724047427493,817.4381426869426,3599.51225913665,2610.3746323577902,1350.97561691352,0.6340437466910122,3744.965858183529,0.2365367525593109,33.3024667748161,5.555045787666553,154.88188408664237,80.55528151831288,69.50390612978815,11913.30283490168
5,Jefferson,69,2021_08,2021,791.7318669401044,3544.1870077666013,445.2780334309464,816.1371330417071,3548.969547463578,2594.196085096128,1336.9174332472396,0.623162500449627,3388.7310791393083,0.2271977839971597,33.40413021335411,6.1166192546244815,153.91784226704704,98.7330708088543,62.2872596809691,11925.856367920542
5,Lincoln,79,2021_08,2021,836.5951770259636,3701.556050354052,492.7508523472331,865.5475347495408,3639.463886703383,2605.851502753737,1325.7036034618409,0.6221458100020656,3692.49517964857,0.2361961561229125,33.56988827694728,5.900767584579065,153.27799108313653,93.66841856805662,53.82018358248098,11342.117082543378
5,White,145,2021_08,2021,646.4068444028687,3821.7660651179694,331.46116567924327,724.6377910300383,3730.5772074108713,2497.170259068704,1154.6183283962166,0.6795664062011404,3637.534767695665,0.2728454985428903,34.08017617711252,3.849448861864672,160.35199563454933,89.46764889304644,64.29264109759899,11630.848341977246
5,St. Francis,123,2021_08,2021,575.7309134392841,3599.3890016972687,289.60661471995064,630.8837648511033,3446.6987162474934,2330.5720243789538,1108.0327264311063,0.6996890225045991,4199.556951087795,0.2618451931508488,33.438871779046444,4.230466471223584,157.21089955253788,73.6545162783521,62.769115877179445,11229.135285373606
5,Crittenden,35,2021_08,2021,618.4474641426224,3608.5306030536617,319.96974641426226,671.2857958516681,3490.329951862025,2424.836697577351,1190.37741797348,0.6826618859023225,5227.479105755885,0.2567863604102164,32.95718082750054,4.495366449110585,155.658755894195,86.67828278353662,65.24316076508866,11794.044271222474
17,Marion,121,2021_08,2021,372.7384891738626,4437.599505413067,211.1213155690168,548.2679758989561,3803.246458413886,2108.425471495468,742.2053523864759,0.7794224974366868,5256.304684882073,0.3754640626716354,31.853896550243444,2.388562508055155,140.81372599561846,71.14440005155303,165.45097735962543,12653.961283014638
17,Bond,5,2021_08,2021,382.1733833314249,4449.6020457234445,242.7053770212333,556.4442444944848,3736.528107705813,2048.631982239864,720.339031589125,0.7771961051236596,5376.156497843594,0.3752863687715683,31.790491711512303,2.404053967405825,141.2247150872102,73.37827309390224,163.50292228032012,12974.076374995662
17,Jersey,83,2021_08,2021,363.3701906184789,4389.611788617884,219.76992037958712,538.9761551223177,3694.488110405343,2025.2430622389645,710.7148582506117,0.7809070314336268,5410.913279132793,0.3723125387457415,31.29817019703448,2.918528641656204,137.8503658689354,78.41235491272612,174.71743613715722,12500.180503533556
17,St. Clair,163,2021_08,2021,437.2078923009559,4352.913397992422,297.4417144419667,595.2310050457369,3667.548232883571,2063.7693635461683,779.4638867693061,0.7594763773481331,5261.314225060924,0.357083466075615,31.72930665922691,3.8593572089740698,141.89920997544635,78.08429207259506,142.5092074073116,12490.76535376941
17,Clinton,27,2021_08,2021,425.1667996459428,4442.490223351757,268.4194292517601,583.6228759677363,3751.50465011906,2138.0561576231858,805.2169794351116,0.7682191080275899,5681.7456237054585,0.3674990274616923,31.77031617603845,2.8491574397452486,141.68449699104738,69.58937543077272,139.62555766699734,13080.781405656006
17,Calhoun,13,2021_08,2021,390.6321257287269,3993.850083283077,233.06210572164312,548.6707231268488,3492.6774312435987,1969.4151757081447,712.742234092454,0.75745754459702,4412.092559087909,0.3289917596766847,31.545249514182032,4.229234561519394,138.737407503135,104.56912973971644,155.9792941041326,11379.777681599971
17,Madison,119,2021_08,2021,440.53922921654686,4257.976058690737,307.74701943345724,600.730236770027,3592.713739151235,2000.6493052392943,745.6892070147834,0.7529409641687014,5312.122179644005,0.3471951691671542,31.52384062874104,2.7959339054286367,140.58941244209578,80.16991262426488,162.6207320564203,13043.120806599414
17,Monroe,133,2021_08,2021,490.698664075325,4051.498116874539,341.2389559786401,636.7432420703057,3554.320541728778,2075.933811347812,817.3559899616961,0.7287834917363175,4703.232703737947,0.3189851840135794,31.90975753344524,4.371133535860543,141.60863709266505,88.31939921127612,148.56669245428984,11612.01804244895
17,Macoupin,117,2021_08,2021,335.2429876701632,4315.9955198163125,199.6175203328308,507.4768429686032,3588.1167513573714,1947.6464039489367,675.7144367134965,0.7888744752386329,5590.804162202631,0.3698158985413119,31.12733315578067,3.259867470900529,135.8414330736617,74.91293654300509,194.21291717360023,12377.783556599636
